,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,330,246,388,,,,0.2988,0.3158,600,0.0015,0.0015,5.732999736,0.0005,0.0005,,
B0_G189,433,445,432,,,,0.2988,0.3158,305.8263516,0.0015,0.0015,3.362210464,0.0005,0.0005,,
B0_G134,442,448,443,,111,,0.2988,0.3158,141.065769,0.0015,0.0015,1.780983977,0.0005,0.0005,,
B0_G91,442,446,445,,,,0.2988,0.3158,59.05803286,0.0015,0.0015,0.855789955,0.0005,0.0005,,
B0_G60,443,444,447,,,,0.2988,0.3158,23.81463537,0.0015,0.0015,0.384842582,0.0005,0.0005,,
B0_G38,438,437,443,,,,0.2988,0.3158,9.640275903,0.0015,0.0015,0.191700218,0.0005,0.0005,,
B0_G23,449,447,452,,,,0.2988,0.3158,3.837472949,0.002,0.002,0.109390521,0.0005,0.0005,,
B0_G13,448,446,449,,,,0.2988,0.3158,1.228994241,0.002,0.002,0.049,0.0005,0.0005,,
B0_G6,398,418,411,,,,0.2988,0.3158,0.246094709,0.002,0.002,0.005,0.0005,0.0005,,
B0_G4,365,423,388,,,,0.2988,0.3158,0.115059388,0.005,0.005,0.005,0.0005,0.0005,,
B1_G255,230,162,274,,,,0.2988,0.3158,450,0.0015,0.0015,4.29999988,0.0005,0.0005,,
B1_G189,439,449,440,,,,0.2988,0.3158,229.3697637,0.0015,0.0015,2.484305853,0.0005,0.0005,,
B1_G134,446,451,448,,,,0.2988,0.3158,105.7993268,0.0015,0.0015,1.293612891,0.0005,0.0005,,
B1_G91,445,448,449,,,,0.2988,0.3158,44.29352464,0.0015,0.0015,0.609694915,0.0005,0.0005,,
B1_G60,444,445,448,,,,0.2988,0.3158,17.86097653,0.0015,0.0015,0.268118568,0.0005,0.0005,,
B1_G38,440,438,443,,,,0.2988,0.3158,7.230206927,0.0015,0.0015,0.143409323,0.0005,0.0005,,
B1_G23,451,449,452,,,,0.2988,0.3158,2.878104712,0.002,0.002,0.092854745,0.0005,0.0005,,
B1_G13,448,450,450,,,,0.2988,0.3158,0.921745681,0.002,0.002,0.043,0.0005,0.0005,,
B1_G6,409,431,414,,,,0.2988,0.3158,0.184571031,0.002,0.002,0.005,0.0005,0.0005,,
B1_G4,409,462,425,,,,0.2988,0.3158,0.05937,0.005,0.005,0.004062057,0.0005,0.0005,,
B2_G255,230,162,274,,,,0.2988,0.3158,300,0.0015,0.0015,2.121000004,0.0005,0.0005,,
B2_G189,446,454,447,,,,0.2988,0.3158,152.9131758,0.0015,0.0015,1.206999989,0.0005,0.0005,,
B2_G134,451,456,453,,,,0.2988,0.3158,70.5328845,0.0015,0.0015,0.598434615,0.0005,0.0005,,
B2_G91,452,455,455,,,,0.2988,0.3158,29.52901643,0.0015,0.0015,0.257997885,0.0005,0.0005,,
B2_G60,454,455,458,,,,0.2988,0.3158,11.90731769,0.0015,0.0015,0.099002637,0.0005,0.0005,,
B2_G38,446,446,450,,,,0.2988,0.3158,4.820137951,0.002,0.002,0.036076778,0.0005,0.0005,,
B2_G23,450,452,454,,,,0.2988,0.3158,1.918736475,0.002,0.002,0.019778234,0.0005,0.0005,,
B2_G13,420,429,423,,,,0.2988,0.3158,0.614497121,0.002,0.002,0.003712875,0.0005,0.0005,,
B2_G6,424,462,437,,,,0.2988,0.3158,0.123047354,0.002,0.002,0.002849126,0.0005,0.0005,,
B2_G4,440,493,470,,,,0.2988,0.3158,0.03958,0.008,0.008,0.001769498,0.0005,0.0005,,
B3_G255,230,162,274,,,,0.2988,0.3158,106,0.0015,0.0015,1.061000004,0.0005,0.0005,,
B3_G189,448,456,450,,,,0.2988,0.3158,54.84454495,0.0015,0.0015,0.604000012,0.0005,0.0005,,
B3_G134,452,457,453,,,,0.2988,0.3158,26.57784681,0.0015,0.0015,0.299217308,0.0005,0.0005,,
B3_G91,453,456,456,,,,0.2988,0.3158,12.17750763,0.0015,0.0015,0.128998942,0.0005,0.0005,,
B3_G60,454,456,458,,,,0.2988,0.3158,5.458942988,0.002,0.002,0.049903769,0.0005,0.0005,,
B3_G38,446,448,450,,,,0.2988,0.3158,2.140202507,0.002,0.002,0.018038389,0.0005,0.0005,,
B3_G23,452,457,456,,,,0.2988,0.3158,0.862345252,0.002,0.002,0.009889117,0.0005,0.0005,,
B3_G13,426,447,431,,,,0.2988,0.3158,0.204574984,0.002,0.002,0.006683175,0.0005,0.0005,,
B3_G6,438,483,454,,,,0.2988,0.3158,0.048652881,0.005,0.005,0.002849126,0.0005,0.0005,,
B3_G4,469,501,483,,,,0.2988,0.3158,0.02608,0.008,0.008,0.001769498,0.0005,0.0005,,
B4_G255,222,162,266,,,,0.2988,0.3158,53,0.0015,0.0015,0.53500002,0.0005,0.0005,,
B4_G189,454,459,457,,,,0.2988,0.3158,27.42227248,0.0015,0.0015,0.305000003,0.0005,0.0005,,
B4_G134,457,460,460,,,,0.2988,0.3158,13.2889234,0.0015,0.0015,0.151061166,0.0005,0.0005,,
B4_G91,455,457,459,,,,0.2988,0.3158,6.088753813,0.002,0.002,0.064950519,0.0005,0.0005,,
B4_G60,455,457,459,,,,0.2988,0.3158,2.729471494,0.002,0.002,0.024951884,0.0005,0.0005,,
B4_G38,448,451,451,,,,0.2988,0.3158,1.070101253,0.002,0.002,0.007455763,0.0005,0.0005,,
B4_G23,447,458,450,,,,0.2988,0.3158,0.382305515,0.002,0.002,0.004384165,0.0005,0.0005,,
B4_G13,442,472,452,,,,0.2988,0.3158,0.118700452,0.002,0.002,0.00237586,0.0005,0.0005,,
B4_G6,443,491,465,,,,0.2988,0.3158,0.029342561,0.008,0.008,0.000974102,0.0005,0.0005,,
B4_G4,465,496,480,,,,0.2988,0.3158,0.016052383,0.008,0.008,0.000700734,0.0005,0.0005,,
B5_G255,218,162,263,,,,0.2988,0.3158,26.5,0.0015,0.0015,0.201000009,0.0005,0.0005,,
B5_G189,458,462,462,,,,0.2988,0.3158,13.71113624,0.0015,0.0015,0.113999995,0.0005,0.0005,,
B5_G134,460,461,463,,,,0.2988,0.3158,6.644461701,0.0015,0.0015,0.056163764,0.0005,0.0005,,
B5_G91,457,458,460,,,,0.2988,0.3158,3.044376907,0.0015,0.0015,0.024356444,0.0005,0.0005,,
B5_G60,457,459,461,,,,0.2988,0.3158,1.364735747,0.0015,0.0015,0.009658794,0.0005,0.0005,,
