,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,305,219,371,,,,0.3008,0.3208,600,0.0015,0.0015,6,0.0005,0.0005,,
B0_G189,428,441,420,,,,0.3008,0.3208,305.8263516,0.0015,0.0015,3.058263516,0.0005,0.0005,,
B0_G134,437,446,436,,,,0.3008,0.3208,141.065769,0.0015,0.0015,1.41065769,0.0005,0.0005,,
B0_G91,443,448,445,,,,0.3008,0.3208,59.05803286,0.0015,0.0015,0.590580329,0.0005,0.0005,,
B0_G60,446,448,448,,,,0.3008,0.3208,23.81463537,0.0015,0.0015,0.476292707,0.0005,0.0005,,
B0_G38,451,449,452,,,,0.3008,0.3208,9.640275903,0.0015,0.0015,0.192805518,0.0005,0.0005,,
B0_G23,454,450,453,,,,0.3008,0.3208,3.837472949,0.002,0.002,0.095936824,0.0005,0.0005,,
B0_G13,442,438,439,,,,0.3008,0.3208,1.228994241,0.002,0.002,0.030724856,0.0005,0.0005,,
B0_G6,416,421,414,,,,0.3008,0.3208,0.246094709,0.002,0.002,0.008613315,0.0005,0.0005,,
B0_G4,349,416,381,,,,0.2988,0.3158,0.089671255,0.005,0.005,0.004483563,0.0005,0.0005,,
B1_G255,297,219,358,,,,0.3008,0.3208,450,0.0015,0.0015,4.5,0.0005,0.0005,,
B1_G189,436,446,431,,,,0.3008,0.3208,229.3697637,0.0015,0.0015,2.293697637,0.0005,0.0005,,
B1_G134,443,450,444,,,,0.3008,0.3208,105.7993268,0.0015,0.0015,1.057993268,0.0005,0.0005,,
B1_G91,446,449,447,,,,0.3008,0.3208,44.29352464,0.0015,0.0015,0.442935246,0.0005,0.0005,,
B1_G60,449,449,450,,,,0.3008,0.3208,17.86097653,0.0015,0.0015,0.357219531,0.0005,0.0005,,
B1_G38,453,451,454,,,,0.3008,0.3208,7.230206927,0.0015,0.0015,0.144604139,0.0005,0.0005,,
B1_G23,453,451,452,,,,0.3008,0.3208,2.878104712,0.002,0.002,0.071952618,0.0005,0.0005,,
B1_G13,443,441,440,,,,0.3008,0.3208,0.921745681,0.002,0.002,0.023043642,0.0005,0.0005,,
B1_G6,423,435,421,,,,0.2988,0.3158,0.184571031,0.002,0.002,0.006459986,0.0005,0.0005,,
B1_G4,380,443,403,,,,0.2988,0.3158,0.067253441,0.005,0.005,0.003362672,0.0005,0.0005,,
B2_G255,283,219,338,,,,0.3008,0.3208,140,0.0015,0.0015,1.4,0.0005,0.0005,,
B2_G189,453,457,453,,,,0.3008,0.3208,71.35948204,0.0015,0.0015,0.71359482,0.0005,0.0005,,
B2_G134,455,457,456,,,,0.3008,0.3208,32.9153461,0.0015,0.0015,0.329153461,0.0005,0.0005,,
B2_G91,453,452,454,,,,0.3008,0.3208,13.78020767,0.0015,0.0015,0.275604153,0.0005,0.0005,,
B2_G60,453,451,454,,,,0.3008,0.3208,5.556748253,0.0015,0.0015,0.111134965,0.0005,0.0005,,
B2_G38,455,452,453,,,,0.3008,0.3208,2.24939771,0.002,0.002,0.056234943,0.0005,0.0005,,
B2_G23,456,456,453,,,,0.3008,0.3208,0.895410355,0.002,0.002,0.022385259,0.0005,0.0005,,
B2_G13,449,454,446,,,,0.3008,0.3208,0.286765323,0.002,0.002,0.010036786,0.0005,0.0005,,
B2_G6,436,464,439,,,,0.2988,0.3158,0.057422099,0.005,0.005,0.002871105,0.0005,0.0005,,
B2_G4,402,466,425,,,,0.2988,0.3158,0.015006231,0.008,0.008,0.0015,0.0005,0.0005,,
B3_G255,283,219,338,,,,0.3008,0.3208,95,0.0015,0.0015,0.95,0.0005,0.0005,,
B3_G189,456,459,455,,,,0.3008,0.3208,49.15312991,0.0015,0.0015,0.491531299,0.0005,0.0005,,
