,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,200,200,200,,,,0.305,0.321,928.2007972,0.00108,0.00108,4.641003986,0.0003,0.0003,,
B0_G191,427,434,426,,DP173,,0.305,0.321,491.5038772,0.0008,0.0008,2.457519386,0.0003,0.0003,,
B0_G127,411,416,411,,200421,,0.305,0.321,189.4099587,0.0008,0.0008,0.947049794,0.0003,0.0003,,
B0_G63,392,390,393,,Special OC,,0.305,0.321,36.21919497,0.0008,0.0008,0.181095975,0.0003,0.0003,,
B0_G31,418,412,419,,G2G O,,0.305,0.321,9.096367812,0.0008,0.0008,0.045481839,0.0003,0.0003,,
B0_G15,412,400,409,,G3_OC,,0.305,0.321,2.042041754,0.0011,0.0011,0.010210209,0.0003,0.0003,,
B0_G7,415,406,408,,band_total11,,0.305,0.321,0.464100399,0.0011,0.0011,0.004641004,0.0003,0.0003,,
B0_G2,360,368,353,,,,0.28,0.331,0.021653073,0.003,0.003,0.000433061,0.0003,0.0003,,
B1_G255,371,316,451,,,,0.305,0.321,571.3387358,0.00108,0.00108,2.856693679,0.0003,0.0003,,
B1_G191,437,442,437,,,,0.305,0.321,302.5371285,0.0008,0.0008,1.512685642,0.0003,0.0003,,
B1_G127,419,421,419,,,,0.305,0.321,116.5881851,0.0008,0.0008,0.582940926,0.0003,0.0003,,
B1_G63,396,394,398,,,,0.305,0.321,22.29412982,0.0008,0.0008,0.111470649,0.0003,0.0003,,
B1_G31,420,413,420,,,,0.305,0.321,5.599119611,0.0011,0.0011,0.027995598,0.0003,0.0003,,
B1_G15,415,403,409,,,,0.305,0.321,1.256945219,0.0011,0.0011,0.006284726,0.0003,0.0003,,
B1_G7,418,413,411,,,,0.299,0.321,0.285669368,0.0022,0.0022,0.002856694,0.0003,0.0003,,
B1_G3,302,405,369,,,,0.29,0.326,0.049910765,0.003,0.003,0.000499108,0.0003,0.0003,,
B2_G255,365,316,441,,,,0.305,0.321,234.9481509,0.00108,0.00108,1.174740755,0.0003,0.0003,,
B2_G191,449,451,449,,,,0.305,0.321,124.410502,0.0008,0.0008,0.62205251,0.0003,0.0003,,
B2_G127,429,428,429,,,,0.305,0.321,50.69344672,0.0008,0.0008,0.253467234,0.0003,0.0003,,
B2_G63,403,397,404,,,,0.305,0.321,10.84258519,0.0008,0.0008,0.054212926,0.0003,0.0003,,
B2_G31,424,415,421,,,,0.305,0.321,2.278134499,0.0011,0.0011,0.011390672,0.0003,0.0003,,
B2_G15,418,411,412,,,,0.305,0.321,0.461301009,0.0011,0.0011,0.00461301,0.0003,0.0003,,
B2_G7,419,433,418,,,,0.29,0.326,0.086257988,0.0025,0.0025,0.00086258,0.0003,0.0003,,
