,Spec,
Band_Gray,Lv_Per,UV
B0_G255,0.017,0.004
B0_G191,0.017,0.004
B0_G127,0.017,0.004
B0_G95,0.017,0.004
B0_G63,0.017,0.004
B0_G47,0.017,0.004
B0_G31,0.017,0.004
B0_G23,0.023,0.005
B0_G15,0.005,0.002
B0_G7,0.005,0.002
B0_G2,0.005,0.002
B1_G255,0.017,0.004
B1_G191,0.017,0.004
B1_G127,0.017,0.004
B1_G95,0.017,0.004
B1_G63,0.017,0.004
B1_G47,0.017,0.004
B1_G31,0.023,0.005
B1_G23,0.005,0.002
B1_G15,0.005,0.002
B1_G7,0.005,0.002
B1_G2,0.005,0.002
B2_G255,0.017,0.004
B2_G191,0.017,0.004
B2_G127,0.017,0.004
B2_G95,0.017,0.004
B2_G63,0.017,0.004
B2_G47,0.017,0.004
B2_G31,0.005,0.002
B2_G23,0.005,0.002
B2_G15,0.005,0.002
B2_G7,0.005,0.002
B2_G2,0.005,0.002
B3_G255,0.017,0.004
B3_G191,0.017,0.004
B3_G127,0.017,0.004
B3_G95,0.017,0.004
B3_G63,0.017,0.004
B3_G47,0.023,0.005
B3_G31,0.005,0.002
B3_G23,0.005,0.002
B3_G15,0.005,0.002
B3_G7,0.005,0.002
B3_G2,0.005,0.002
B4_G255,0.017,0.004
B4_G191,0.017,0.004
B4_G127,0.017,0.004
B4_G95,0.017,0.004
B4_G63,0.023,0.005
B4_G47,0.005,0.002
B4_G31,0.005,0.002
B4_G23,0.005,0.002
B4_G15,0.005,0.002
B4_G7,0.005,0.002
B4_G2,0.005,0.002
B5_G255,0.017,0.004
B5_G191,0.017,0.004
B5_G127,0.017,0.004
B5_G95,0.023,0.005
B5_G63,0.005,0.002
B5_G47,0.005,0.002
B5_G31,0.005,0.002
B5_G23,0.005,0.002
B5_G15,0.005,0.002
B5_G7,0.005,0.002
B5_G2,1,1
B6_G255,0.017,0.004
B6_G191,0.017,0.004
B6_G127,0.017,0.004
B6_G95,0.023,0.005
B6_G63,0.005,0.002
B6_G47,0.005,0.002
B6_G31,0.005,0.002
B6_G23,0.005,0.002
B6_G15,0.005,0.002
B6_G7,0.005,0.002
B6_G2,1,1
B7_G255,0.017,0.004
B7_G191,0.017,0.004
B7_G127,0.023,0.005
B7_G95,0.005,0.002
B7_G63,0.005,0.002
B7_G47,0.005,0.002
B7_G31,0.005,0.002
B7_G23,0.005,0.002
B7_G15,0.005,0.002
B7_G7,0.005,0.002
B7_G2,1,1
B8_G255,0.017,0.004
B8_G191,0.023,0.005
B8_G127,0.005,0.002
B8_G95,0.005,0.002
B8_G63,0.005,0.002
B8_G47,0.005,0.002
B8_G31,0.005,0.002
B8_G23,0.005,0.002
B8_G15,0.005,0.002
B8_G7,1,1
B8_G2,1,1
B9_G255,0.023,0.005
B9_G191,0.023,0.005
B9_G127,0.005,0.002
B9_G95,0.005,0.002
B9_G63,0.005,0.002
B9_G47,0.005,0.002
B9_G31,0.005,0.002
B9_G23,0.005,0.002
B9_G15,0.005,0.002
B9_G7,1,1
B9_G2,1,1
B10_G255,0.023,0.005
B10_G191,0.005,0.002
B10_G127,0.005,0.002
B10_G95,0.005,0.002
B10_G63,0.005,0.002
B10_G47,0.005,0.002
B10_G31,0.005,0.002
B10_G23,0.005,0.002
B10_G15,0.005,0.002
B10_G7,1,1
B10_G2,1,1
B11_G255,0.005,0.002
B11_G191,0.005,0.002
B11_G127,0.005,0.002
B11_G95,0.005,0.002
B11_G63,0.005,0.002
B11_G47,0.005,0.002
B11_G31,0.005,0.002
B11_G23,0.005,0.002
B11_G15,1,1
B11_G7,1,1
B11_G2,1,1
