Vreg1 Offset,GammaSet1,GammaSet2,GammaSet3,GammaSet4,GammaSet5,GammaSet6
B0,0,0,0,0,0,0
B1,0,0,0,0,0,0
B2,0,0,0,0,0,0
B3,0,0,0,0,0,0
B4,0,0,0,0,0,0
B5,0,0,0,0,0,0
B6,0,0,0,0,0,0
B7,0,0,0,0,0,0
B8,0,0,0,0,0,0
B9,0,0,0,0,0,0
B10,0,0,0,0,0,0
B11,0,0,0,0,0,0
,,,,,,
AM1  Red Offset,GammaSet1,GammaSet2,GammaSet3,GammaSet4,GammaSet5,GammaSet6
B0,0,0,0,0,0,0
B1,0,0,0,0,0,0
B2,0,0,0,0,0,0
B3,0,0,0,0,0,0
B4,0,0,0,0,0,0
B5,0,0,0,0,0,0
B6,0,0,0,0,0,0
B7,0,0,0,0,0,0
B8,0,0,0,0,0,0
B9,0,0,0,0,0,0
B10,0,0,0,0,0,0
B11,0,0,0,0,0,0
,,,,,,
AM1  Green Offset,GammaSet1,GammaSet2,GammaSet3,GammaSet4,GammaSet5,GammaSet6
B0,0,0,0,0,0,0
B1,0,0,0,0,0,0
B2,0,0,0,0,0,0
B3,0,0,0,0,0,0
B4,0,0,0,0,0,0
B5,0,0,0,0,0,0
B6,0,0,0,0,0,0
B7,0,0,0,0,0,0
B8,0,0,0,0,0,0
B9,0,0,0,0,0,0
B10,0,0,0,0,0,0
B11,0,0,0,0,0,0
,,,,,,
AM1  Blue Offset,GammaSet1,GammaSet2,GammaSet3,GammaSet4,GammaSet5,GammaSet6
B0,0,0,0,0,0,0
B1,0,0,0,0,0,0
B2,0,0,0,0,0,0
B3,0,0,0,0,0,0
B4,0,0,0,0,0,0
B5,0,0,0,0,0,0
B6,0,0,0,0,0,0
B7,0,0,0,0,0,0
B8,0,0,0,0,0,0
B9,0,0,0,0,0,0
B10,0,0,0,0,0,0
B11,0,0,0,0,0,0
,,,,,,
OC_Mode2 ,Gamma R,Gamma G,Gamma B,,,
B0_G255,0,0,0,,,
B0_G191,0,0,0,,,
B0_G127,0,0,0,,,
B0_G95,0,0,0,,,
B0_G63,0,0,0,,,
B0_G47,0,0,0,,,
B0_G31,0,0,0,,,
B0_G23,0,0,0,,,
B0_G15,0,0,0,,,
B0_G7,0,0,0,,,
B0_G2,0,0,0,,,
B1_G255,0,0,0,,,
B1_G191,0,0,0,,,
B1_G127,0,0,0,,,
B1_G95,0,0,0,,,
B1_G63,0,0,0,,,
B1_G47,0,0,0,,,
B1_G31,0,0,0,,,
B1_G23,0,0,0,,,
B1_G15,0,0,0,,,
B1_G7,0,0,0,,,
B1_G3,0,0,0,,,
B2_G255,0,0,0,,,
B2_G191,0,0,0,,,
B2_G127,0,0,0,,,
B2_G95,0,0,0,,,
B2_G63,0,0,0,,,
B2_G47,0,0,0,,,
B2_G31,0,0,0,,,
B2_G23,0,0,0,,,
B2_G15,0,0,0,,,
B2_G7,0,0,0,,,
B2_G4,0,0,0,,,
B3_G255,0,0,0,,,
B3_G191,0,0,0,,,
B3_G127,0,0,0,,,
B3_G95,0,0,0,,,
B3_G63,0,0,0,,,
B3_G47,0,0,0,,,
B3_G31,0,0,0,,,
B3_G23,0,0,0,,,
B3_G15,0,0,0,,,
B3_G7,0,0,0,,,
B3_G4,0,0,0,,,
B4_G255,0,0,0,,,
B4_G191,0,0,0,,,
B4_G127,0,0,0,,,
B4_G95,0,0,0,,,
B4_G63,0,0,0,,,
B4_G47,0,0,0,,,
B4_G31,0,0,0,,,
B4_G23,0,0,0,,,
B4_G15,0,0,0,,,
B4_G7,0,0,0,,,
B4_G5,0,0,0,,,
B5_G255,0,0,0,,,
B5_G191,0,0,0,,,
B5_G127,0,0,0,,,
B5_G95,0,0,0,,,
B5_G63,0,0,0,,,
B5_G47,0,0,0,,,
B5_G31,0,0,0,,,
B5_G23,0,0,0,,,
B5_G15,0,0,0,,,
B5_G7,0,0,0,,,
B5_G3,0,0,0,,,
B6_G255,0,0,0,,,
B6_G191,0,0,0,,,
B6_G127,0,0,0,,,
B6_G95,0,0,0,,,
B5_G63,0,0,0,,,
B6_G47,0,0,0,,,
B6_G31,0,0,0,,,
B6_G23,0,0,0,,,
B6_G15,0,0,0,,,
B6_G8,0,0,0,,,
B6_G4,0,0,0,,,
B7_G255,0,0,0,,,
B7_G191,0,0,0,,,
B7_G127,0,0,0,,,
B7_G95,0,0,0,,,
B7_G63,0,0,0,,,
B7_G47,0,0,0,,,
B7_G31,0,0,0,,,
B7_G23,0,0,0,,,
B7_G15,0,0,0,,,
B7_G11,0,0,0,,,
B7_G4,0,0,0,,,
B8_G255,0,0,0,,,
B8_G191,0,0,0,,,
B8_G127,0,0,0,,,
B8_G95,0,0,0,,,
B8_G63,0,0,0,,,
B8_G47,0,0,0,,,
B8_G31,0,0,0,,,
B8_G23,0,0,0,,,
B8_G15,0,0,0,,,
B8_G7,0,0,0,,,
B8_G4,0,0,0,,,
B9_G255,0,0,0,,,
B9_G191,0,0,0,,,
B9_G127,0,0,0,,,
B9_G95,0,0,0,,,
B9_G63,0,0,0,,,
B9_G47,0,0,0,,,
B9_G31,0,0,0,,,
B9_G23,0,0,0,,,
B9_G15,0,0,0,,,
B9_G7,0,0,0,,,
B9_G4,0,0,0,,,
B10_G255,0,0,0,,,
B10_G191,0,0,0,,,
B10_G127,0,0,0,,,
B10_G95,0,0,0,,,
B10_G63,0,0,0,,,
B10_G47,0,0,0,,,
B10_G31,0,0,0,,,
B10_G23,0,0,0,,,
B10_G20,0,0,0,,,
B10_G7,0,0,0,,,
B10_G4,0,0,0,,,
B11_G255,0,0,0,,,
B11_G191,0,0,0,,,
B11_G127,0,0,0,,,
B11_G95,0,0,0,,,
B11_G63,0,0,0,,,
B11_G47,0,0,0,,,
B11_G31,0,0,0,,,
B11_G25,0,0,0,,,
B11_G20,0,0,0,,,
B11_G7,0,0,0,,,
B11_G4,0,0,0,,,
,,,,,,
OC_Mode3 ,Gamma R,Gamma G,Gamma B,,,
B0_G255,0,0,0,,,
B0_G191,0,0,0,,,
B0_G127,0,0,0,,,
B0_G95,0,0,0,,,
B0_G63,0,0,0,,,
B0_G47,0,0,0,,,
B0_G31,0,0,0,,,
B0_G23,0,0,0,,,
B0_G15,0,0,0,,,
B0_G7,0,0,0,,,
B0_G2,0,0,0,,,
B1_G255,0,0,0,,,
B1_G191,0,0,0,,,
B1_G127,0,0,0,,,
B1_G95,0,0,0,,,
B1_G63,0,0,0,,,
B1_G47,0,0,0,,,
B1_G31,0,0,0,,,
B1_G23,0,0,0,,,
B1_G15,0,0,0,,,
