,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,330,260,436,,,,0.305,0.321,982.8008441,0.00108,0.00108,3.980343418,0.0003,0.0003,,
B0_G191,434,427,420,,Set1456,,0.305,0.321,520.4158699,0.00108,0.00108,2.107684274,0.0003,0.0003,,
B0_G127,419,408,404,,200715,,0.305,0.321,212.0534341,0.00108,0.00108,0.858816408,0.0003,0.0003,,
B0_G95,461,451,450,,,,0.305,0.321,111.9615895,0.00108,0.00108,0.453444438,0.0003,0.0003,,
B0_G63,403,379,382,,,,0.305,0.321,45.35512128,0.00108,0.00108,0.183688241,0.0003,0.0003,,
B0_G47,465,451,454,,,,0.305,0.321,23.80632791,0.00108,0.00108,0.096415628,0.0003,0.0003,,
B0_G31,407,372,380,,,,0.305,0.321,9.529560032,0.00108,0.00108,0.038594718,0.0003,0.0003,,
B0_G23,463,441,444,,,,0.305,0.321,4.941722601,0.001485,0.001485,0.020013977,0.0003,0.0003,,
B0_G15,403,351,362,,,,0.305,0.321,1.929647112,0.00297,0.00297,0.007815071,0.0003,0.0003,,
B0_G7,381,323,335,,,,0.305,0.321,0.360821836,0.00297,0.00297,0.004871095,0.0003,0.0003,,
B0_G2,176,267,281,,,,0.28,0.331,0.022926783,0.00405,0.00405,0.000619023,0.0003,0.0003,,
B1_G255,326,260,430,,,,0.305,0.321,685.606483,0.00108,0.00108,2.776706257,0.0003,0.0003,,
B1_G191,440,434,428,,,,0.305,0.321,363.0445542,0.00108,0.00108,1.470330445,0.0003,0.0003,,
B1_G127,425,412,410,,,,0.305,0.321,147.9294712,0.00108,0.00108,0.599114358,0.0003,0.0003,,
B1_G95,464,454,455,,,,0.305,0.321,78.10493049,0.00108,0.00108,0.316324968,0.0003,0.0003,,
B1_G63,407,383,388,,,,0.305,0.321,31.63994555,0.00108,0.00108,0.12814178,0.0003,0.0003,,
B1_G47,466,452,454,,,,0.305,0.321,16.60740612,0.00108,0.00108,0.067259995,0.0003,0.0003,,
B1_G31,409,375,382,,,,0.305,0.321,6.647865819,0.001485,0.001485,0.026923856,0.0003,0.0003,,
B1_G23,466,442,448,,,,0.305,0.321,3.447368888,0.00297,0.00297,0.013961844,0.0003,0.0003,,
B1_G15,405,354,366,,,,0.305,0.321,1.346130885,0.00297,0.00297,0.00545183,0.0003,0.0003,,
B1_G7,378,343,349,,,,0.299,0.321,0.251711007,0.00297,0.00297,0.003398099,0.0003,0.0003,,
B1_G3,249,323,315,,,,0.28,0.331,0.039025932,0.00405,0.00405,0.0010537,0.0003,0.0003,,
B2_G255,322,260,424,,,,0.305,0.321,407.368211,0.00108,0.00108,1.649841254,0.0003,0.0003,,
B2_G191,448,440,437,,,,0.305,0.321,215.7109278,0.00108,0.00108,0.873629258,0.0003,0.0003,,
B2_G127,430,418,418,,,,0.305,0.321,87.89555746,0.00108,0.00108,0.355977008,0.0003,0.0003,,
B2_G95,466,456,458,,,,0.305,0.321,46.40776684,0.00108,0.00108,0.187951456,0.0003,0.0003,,
B2_G63,410,386,392,,,,0.305,0.321,18.79957138,0.00108,0.00108,0.076138264,0.0003,0.0003,,
B2_G47,467,453,456,,,,0.305,0.321,9.867656575,0.00108,0.00108,0.03996401,0.0003,0.0003,,
B2_G31,411,376,386,,,,0.305,0.321,3.949976076,0.00297,0.00297,0.015997403,0.0003,0.0003,,
B2_G23,464,445,446,,,,0.305,0.321,2.048330247,0.00297,0.00297,0.008295737,0.0003,0.0003,,
B2_G15,403,360,367,,,,0.305,0.321,0.79983335,0.00297,0.00297,0.003239325,0.0003,0.0003,,
B2_G7,376,365,366,,,,0.299,0.321,0.149559645,0.00297,0.00297,0.002019056,0.0003,0.0003,,
B2_G4,287,372,361,,,,0.29,0.326,0.043664724,0.00405,0.00405,0.000589474,0.0003,0.0003,,
B3_G255,318,260,420,,,,0.305,0.321,213.4295239,0.00108,0.00108,0.864389571,0.0003,0.0003,,
B3_G191,454,445,444,,,,0.305,0.321,113.0158892,0.00108,0.00108,0.457714352,0.0003,0.0003,,
B3_G127,435,422,425,,,,0.305,0.321,46.05049308,0.00108,0.00108,0.186504497,0.0003,0.0003,,
B3_G95,467,456,459,,,,0.305,0.321,24.31409058,0.00108,0.00108,0.098472067,0.0003,0.0003,,
B3_G63,412,388,395,,,,0.305,0.321,9.849525465,0.00108,0.00108,0.039890579,0.0003,0.0003,,
B3_G47,470,453,457,,,,0.305,0.321,5.169890992,0.001485,0.001485,0.020938058,0.0003,0.0003,,
B3_G31,414,377,386,,,,0.305,0.321,2.069482818,0.00297,0.00297,0.008381406,0.0003,0.0003,,
B3_G23,464,447,447,,,,0.305,0.321,1.07316707,0.00297,0.00297,0.004346327,0.0003,0.0003,,
B3_G15,397,370,373,,,,0.305,0.321,0.419050988,0.00297,0.00297,0.005657189,0.0003,0.0003,,
