,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,200,200,200,,,,0.305,0.321,982.8008441,0.0024,0.0024,7.37100633,0.0003,0.0003,,
B0_G191,427,434,426,,DP213,,0.305,0.321,520.4158699,0.0024,0.0024,3.903119025,0.0003,0.0003,,
B0_G127,411,416,411,,,,0.305,0.321,212.0534341,0.0024,0.0024,1.590400755,0.0003,0.0003,,
B0_G95,427,434,426,,,,0.305,0.321,111.9615895,0.0024,0.0024,0.839711921,0.0003,0.0003,,
B0_G63,411,416,411,,,,0.305,0.321,45.35512128,0.0024,0.0024,0.34016341,0.0003,0.0003,,
B0_G47,427,434,426,,,,0.305,0.321,23.80632791,0.0024,0.0024,0.178547459,0.0003,0.0003,,
B0_G31,411,416,411,,,,0.305,0.321,9.529560032,0.0024,0.0024,0.0714717,0.0003,0.0003,,
B0_G23,427,434,426,,,,0.305,0.321,4.941722601,0.0033,0.0033,0.03706292,0.0003,0.0003,,
B0_G15,411,416,411,,,,0.305,0.321,1.929647112,0.0066,0.0066,0.014472353,0.0003,0.0003,,
B0_G7,427,434,426,,,,0.305,0.321,0.360821836,0.0066,0.0066,0.005412328,0.0003,0.0003,,
B0_G2,411,416,411,,,,0.28,0.331,0.022926783,0.009,0.009,0.000687803,0.0003,0.0003,,
B1_G255,200,200,200,,,,0.305,0.321,685.606483,0.0024,0.0024,5.142048623,0.0003,0.0003,,
B1_G191,427,434,426,,DP213,,0.305,0.321,363.0445542,0.0024,0.0024,2.722834156,0.0003,0.0003,,
B1_G127,411,416,411,,,,0.305,0.321,147.9294712,0.0024,0.0024,1.109471034,0.0003,0.0003,,
B1_G95,427,434,426,,,,0.305,0.321,78.10493049,0.0024,0.0024,0.585786979,0.0003,0.0003,,
B1_G63,411,416,411,,,,0.305,0.321,31.63994555,0.0024,0.0024,0.237299592,0.0003,0.0003,,
B1_G47,427,434,426,,,,0.305,0.321,16.60740612,0.0024,0.0024,0.124555546,0.0003,0.0003,,
B1_G31,411,416,411,,,,0.305,0.321,6.647865819,0.0033,0.0033,0.049858994,0.0003,0.0003,,
B1_G23,427,434,426,,,,0.305,0.321,3.447368888,0.0066,0.0066,0.025855267,0.0003,0.0003,,
B1_G15,411,416,411,,,,0.305,0.321,1.346130885,0.0066,0.0066,0.010095982,0.0003,0.0003,,
B1_G7,427,434,426,,,,0.299,0.321,0.251711007,0.0066,0.0066,0.003775665,0.0003,0.0003,,
B1_G3,411,416,411,,,,0.28,0.331,0.039025932,0.009,0.009,0.001170778,0.0003,0.0003,,
B2_G255,200,200,200,,,,0.305,0.321,407.368211,0.0024,0.0024,3.055261582,0.0003,0.0003,,
B2_G191,427,434,426,,DP213,,0.305,0.321,215.7109278,0.0024,0.0024,1.617831958,0.0003,0.0003,,
B2_G127,411,416,411,,,,0.305,0.321,87.89555746,0.0024,0.0024,0.659216681,0.0003,0.0003,,
B2_G95,427,434,426,,,,0.305,0.321,46.40776684,0.0024,0.0024,0.348058251,0.0003,0.0003,,
B2_G63,411,416,411,,,,0.305,0.321,18.79957138,0.0024,0.0024,0.140996785,0.0003,0.0003,,
B2_G47,427,434,426,,,,0.305,0.321,9.867656575,0.0024,0.0024,0.074007424,0.0003,0.0003,,
B2_G31,411,416,411,,,,0.305,0.321,3.949976076,0.0066,0.0066,0.029624821,0.0003,0.0003,,
B2_G23,427,434,426,,,,0.305,0.321,2.048330247,0.0066,0.0066,0.015362477,0.0003,0.0003,,
B2_G15,411,416,411,,,,0.305,0.321,0.79983335,0.0066,0.0066,0.00599875,0.0003,0.0003,,
B2_G7,427,434,426,,,,0.299,0.321,0.149559645,0.0066,0.0066,0.002243395,0.0003,0.0003,,
B2_G4,411,416,411,,,,0.29,0.326,0.043664724,0.009,0.009,0.000654971,0.0003,0.0003,,
B3_G255,200,200,200,,,,0.305,0.321,213.4295239,0.0024,0.0024,1.600721429,0.0003,0.0003,,
B3_G191,427,434,426,,DP213,,0.305,0.321,113.0158892,0.0024,0.0024,0.847619169,0.0003,0.0003,,
B3_G127,411,416,411,,,,0.305,0.321,46.05049308,0.0024,0.0024,0.345378698,0.0003,0.0003,,
B3_G95,427,434,426,,,,0.305,0.321,24.31409058,0.0024,0.0024,0.182355679,0.0003,0.0003,,
B3_G63,411,416,411,,,,0.305,0.321,9.849525465,0.0024,0.0024,0.073871441,0.0003,0.0003,,
B3_G47,427,434,426,,,,0.305,0.321,5.169890992,0.0033,0.0033,0.038774182,0.0003,0.0003,,
B3_G31,411,416,411,,,,0.305,0.321,2.069482818,0.0066,0.0066,0.015521121,0.0003,0.0003,,
B3_G23,427,434,426,,,,0.305,0.321,1.07316707,0.0066,0.0066,0.008048753,0.0003,0.0003,,
B3_G15,411,416,411,,,,0.305,0.321,0.419050988,0.0066,0.0066,0.006285765,0.0003,0.0003,,
B3_G7,427,434,426,,,,0.29,0.326,0.078357719,0.0075,0.0075,0.001175366,0.0003,0.0003,,
B3_G4,411,416,411,,,,0.28,0.331,0.022876948,0.009,0.009,0.000686308,0.0003,0.0003,,
B4_G255,200,200,200,,,,0.305,0.321,107.7163452,0.0024,0.0024,0.807872589,0.0003,0.0003,,
B4_G191,427,434,426,,DP213,,0.305,0.321,57.03830621,0.0024,0.0024,0.427787297,0.0003,0.0003,,
B4_G127,411,416,411,,,,0.305,0.321,23.24135255,0.0024,0.0024,0.174310144,0.0003,0.0003,,
B4_G95,427,434,426,,,,0.305,0.321,12.27114659,0.0024,0.0024,0.092033599,0.0003,0.0003,,
B4_G63,411,416,411,,,,0.305,0.321,4.97098464,0.0033,0.0033,0.037282385,0.0003,0.0003,,
B4_G47,427,434,426,,,,0.305,0.321,2.609206789,0.0066,0.0066,0.019569051,0.0003,0.0003,,
B4_G31,411,416,411,,,,0.305,0.321,1.044453089,0.0066,0.0066,0.007833398,0.0003,0.0003,,
