,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B0_G255,343,282,438,,,,0.299,0.315,744.2052667,0.0009,0.0009,4.093128966,0.0003,0.0003,,
B0_G191,428,434,425,,Elgin,,0.299,0.315,394.0739709,0.0009,0.0009,2.167406841,0.0003,0.0003,,
B0_G127,412,413,411,,200317,,0.299,0.315,151.8635723,0.0009,0.0009,0.835249647,0.0003,0.0003,,
B0_G63,386,382,389,,Special OC,,0.299,0.315,29.03953081,0.0009,0.0009,0.159717419,0.0003,0.0003,,
B0_G31,410,401,412,,G2G O,,0.299,0.315,7.293211619,0.0009,0.0009,0.040112664,0.0003,0.0003,,
B0_G15,402,386,396,,,,0.299,0.315,1.637251587,0.0012,0.0012,0.009004884,0.0003,0.0003,,
B0_G7,410,396,391,,,,0.299,0.315,0.372102634,0.0012,0.0012,0.004093129,0.0003,0.0003,,
B0_G4,431,441,429,,,,0.299,0.315,0.119072843,0.00216,0.00216,0.001309801,0.0003,0.0003,,
B1_G255,339,282,433,,,,0.299,0.315,531.5751905,0.0009,0.0009,2.923663547,0.0003,0.0003,,
B1_G191,436,439,432,,,,0.299,0.315,281.4814078,0.0009,0.0009,1.548147743,0.0003,0.0003,,
B1_G127,416,417,416,,,,0.299,0.315,108.4739802,0.0009,0.0009,0.596606891,0.0003,0.0003,,
B1_G63,388,382,391,,,,0.299,0.315,20.74252201,0.0009,0.0009,0.114083871,0.0003,0.0003,,
B1_G31,411,401,412,,,,0.299,0.315,5.209436871,0.0012,0.0012,0.028651902,0.0003,0.0003,,
B1_G15,406,390,396,,,,0.299,0.315,1.169465419,0.0012,0.0012,0.00643206,0.0003,0.0003,,
B1_G7,410,402,392,,,,0.299,0.315,0.265787595,0.00216,0.00216,0.002923664,0.0003,0.0003,,
B1_G4,434,451,439,,,,0.299,0.315,0.08505203,0.003,0.003,0.002806717,0.0003,0.0003,,
B2_G255,335,282,424,,,,0.299,0.315,214.528549,0.0009,0.0009,1.17990702,0.0003,0.0003,,
B2_G191,445,446,446,,,,0.299,0.315,113.5978486,0.0009,0.0009,0.624788167,0.0003,0.0003,,
B2_G127,425,420,425,,,,0.299,0.315,43.77699712,0.0009,0.0009,0.240773485,0.0003,0.0003,,
B2_G63,392,383,394,,,,0.299,0.315,8.371088851,0.0009,0.0009,0.046040988,0.0003,0.0003,,
B2_G31,413,402,409,,,,0.299,0.315,2.102379782,0.0012,0.0012,0.011563089,0.0003,0.0003,,
B2_G15,408,394,393,,,,0.299,0.315,0.471962808,0.0012,0.0012,0.005191591,0.0003,0.0003,,
B2_G7,417,427,410,,,,0.299,0.315,0.107264275,0.003,0.003,0.003539721,0.0003,0.0003,,
B2_G4,434,476,459,,,,0.299,0.315,0.034324568,0.003,0.003,0.001887851,0.0003,0.0003,,
B3_G255,336,282,425,,,,0.299,0.315,98.28008441,0.0009,0.0009,0.540540464,0.0003,0.0003,,
B3_G191,450,449,452,,,,0.299,0.315,52.04158699,0.0009,0.0009,0.286228729,0.0003,0.0003,,
B3_G127,426,421,428,,,,0.299,0.315,20.0551721,0.0009,0.0009,0.110303447,0.0003,0.0003,,
B3_G63,395,383,393,,,,0.299,0.315,3.834973585,0.0012,0.0012,0.021092355,0.0003,0.0003,,
B3_G31,417,404,407,,,,0.299,0.315,0.963144828,0.0012,0.0012,0.005297296,0.0003,0.0003,,
B3_G15,410,407,395,,,,0.299,0.315,0.216216186,0.00216,0.00216,0.002378378,0.0003,0.0003,,
B3_G7,420,454,433,,,,0.299,0.315,0.049140042,0.003,0.003,0.001621621,0.0003,0.0003,,
B3_G4,443,495,478,,,,0.299,0.315,0.015724814,0.004,0.004,0.000864865,0.0003,0.0003,,
B4_G255,336,282,427,,,,0.299,0.315,66.11226395,0.0009,0.0009,0.363617452,0.0003,0.0003,,
B4_G191,451,448,452,,,,0.299,0.315,35.00797905,0.0009,0.0009,0.192543885,0.0003,0.0003,,
B4_G127,428,422,429,,,,0.299,0.315,13.49096146,0.0009,0.0009,0.074200288,0.0003,0.0003,,
B4_G63,395,382,392,,,,0.299,0.315,2.579757511,0.0012,0.0012,0.014188667,0.0003,0.0003,,
B4_G31,418,406,406,,,,0.299,0.315,0.647900187,0.0012,0.0012,0.003563451,0.0003,0.0003,,
B4_G15,412,417,400,,,,0.299,0.315,0.145446981,0.00216,0.00216,0.001599917,0.0003,0.0003,,
B4_G7,423,468,446,,,,0.299,0.315,0.033056132,0.003,0.003,0.001818088,0.0003,0.0003,,
B4_G4,444,498,484,,,,0.299,0.315,0.010577962,0.0045,0.0045,0.000581788,0.0003,0.0003,,
B5_G255,336,282,428,,,,0.299,0.315,44.47485966,0.001,0.001,0.355798877,0.0003,0.0003,,
B5_G191,452,448,453,,,,0.299,0.315,23.550471,0.001,0.001,0.188403768,0.0003,0.0003,,
B5_G127,428,421,429,,,,0.299,0.315,9.075602347,0.001,0.001,0.072604819,0.0003,0.0003,,
B5_G63,394,381,391,,,,0.299,0.315,1.73544735,0.0012,0.0012,0.013883579,0.0003,0.0003,,
B5_G31,411,404,405,,,,0.299,0.315,0.435853625,0.0012,0.0012,0.00479439,0.0003,0.0003,,
B5_G15,375,421,409,,,,0.299,0.315,0.097844691,0.003,0.003,0.003228875,0.0003,0.0003,,
B5_G7,399,478,451,,,,0.299,0.315,0.02223743,0.003,0.003,0.001223058,0.0003,0.0003,,
B5_G4,444,498,484,,,,0.299,0.315,0.007115978,0.0045,0.0045,0.000391379,0.0003,0.0003,,
B6_G255,337,282,430,,,,0.299,0.315,22.23742983,0.001,0.001,0.177899439,0.0003,0.0003,,
B6_G191,452,449,454,,,,0.299,0.315,11.7752355,0.001,0.001,0.094201884,0.0003,0.0003,,
B6_G127,428,421,429,,,,0.299,0.315,4.537801174,0.0012,0.0012,0.036302409,0.0003,0.0003,,
B6_G63,395,383,392,,,,0.299,0.315,0.867723675,0.0012,0.0012,0.006941789,0.0003,0.0003,,
B6_G31,402,411,410,,,,0.299,0.315,0.217926813,0.00216,0.00216,0.002397195,0.0003,0.0003,,
B6_G15,384,445,426,,,,0.299,0.315,0.048922346,0.003,0.003,0.001614437,0.0003,0.0003,,
B6_G7,433,486,468,,,,0.299,0.315,0.011118715,0.0045,0.0045,0.00061153,0.0003,0.0003,,
B6_G4,444,498,484,,,,0.299,0.315,0.003557989,0.0045,0.0045,0.000195689,0.0003,0.0003,,
B7_G255,336,282,430,,,,0.299,0.315,11.11871492,0.001,0.001,0.088949719,0.0003,0.0003,,
B7_G191,453,451,455,,,,0.299,0.315,5.887617751,0.001,0.001,0.047100942,0.0003,0.0003,,
B7_G127,430,423,430,,,,0.299,0.315,2.268900587,0.0012,0.0012,0.018151205,0.0003,0.0003,,
B7_G63,392,387,395,,,,0.299,0.315,0.433861837,0.0012,0.0012,0.00477248,0.0003,0.0003,,
B7_G31,400,424,423,,,,0.299,0.315,0.108963406,0.003,0.003,0.003595792,0.0003,0.0003,,
B7_G15,410,465,442,,,,0.299,0.315,0.024461173,0.003,0.003,0.001345365,0.0003,0.0003,,
B7_G7,433,486,468,,,,0.299,0.315,0.005559357,0.0045,0.0045,0.000305765,0.0003,0.0003,,
B7_G4,444,498,484,,,,0.299,0.315,0.001778994,0.0045,0.0045,0.00009779,0.0003,0.0003,,
B8_G255,339,282,435,,,,0.299,0.315,5.661361767,0.0012,0.0012,0.045290894,0.0003,0.0003,,
B8_G191,454,450,455,,,,0.299,0.315,2.997822526,0.0012,0.0012,0.02398258,0.0003,0.0003,,
B8_G127,429,423,429,,,,0.299,0.315,1.155265436,0.0012,0.0012,0.009242123,0.0003,0.0003,,
B8_G63,387,391,397,,,,0.299,0.315,0.220911215,0.00216,0.00216,0.002430023,0.0003,0.0003,,
B8_G31,404,446,433,,,,0.299,0.315,0.055481345,0.003,0.003,0.001830884,0.0003,0.0003,,
B8_G15,430,482,463,,,,0.299,0.315,0.012454996,0.0045,0.0045,0.000685025,0.0003,0.0003,,
B8_G7,433,486,468,,,,0.299,0.315,0.002830681,0.0045,0.0045,0.000155687,0.0003,0.0003,,
B8_G4,444,498,484,,,,0.299,0.315,0.000905818,0.0045,0.0045,0.00004983,0.0003,0.0003,,
B9_G255,344,282,443,,,,0.299,0.315,2.327818349,0.0012,0.0012,0.018622547,0.0003,0.0003,,
B9_G191,454,452,455,,,,0.299,0.315,1.232633873,0.0012,0.0012,0.009861071,0.0003,0.0003,,
B9_G127,429,423,430,,,,0.299,0.315,0.475017883,0.0012,0.0012,0.005225197,0.0003,0.0003,,
B9_G63,380,410,405,,,,0.299,0.315,0.090833478,0.003,0.003,0.002997506,0.0003,0.0003,,
B9_G31,424,474,454,,,,0.299,0.315,0.02281262,0.003,0.003,0.001254694,0.0003,0.0003,,
B9_G25,453,495,484,,,,0.299,0.315,0.015435844,0.0045,0.0045,0.000848971,0.0003,0.0003,,
B9_G7,433,486,468,,,,0.299,0.315,0.001163909,0.0045,0.0045,0.00006402,0.0003,0.0003,,
B9_G4,444,498,484,,,,0.299,0.315,0.000372451,0.0045,0.0045,0.00002046,0.0003,0.0003,,
