,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Gray,R,G,B,X,Y,Lv,X,Y,Lv,X,Y,Lv,X,Y,Applied,Loop
Band0_255,427,308,483,,,,0.3127,0.329,658.0530818,0.0015,0.0015,6.580530818,0.0005,0.0005,,
Band0_191,432,444,433,,,,0.3127,0.329,345.4464499,0.0015,0.0015,3.454464499,0.0005,0.0005,,
Band0_127,425,433,426,,,,0.3127,0.329,141.9844281,0.0015,0.0015,1.419844281,0.0005,0.0005,,
Band0_63,391,397,397,,-,,0.3127,0.329,31.22955039,0.0015,0.0015,0.312295504,0.0005,0.0005,,
Band0_31,404,406,410,,,,0.3127,0.329,7.240673525,0.0015,0.0015,0.072406735,0.0005,0.0005,,
Band0_15,409,410,413,,,,0.3127,0.329,1.715213524,0.002,0.002,0.017152135,0.0005,0.0005,,
Band0_7,432,440,439,,,,0.3127,0.329,0.593538307,0.002,0.002,0.011870766,0.0005,0.0005,,
Band0_4,457,473,465,,,,0.3127,0.329,0.301976104,0.003,0.003,0.013588925,0.0005,0.0005,,
Band1_255,422,308,479,,,,0.3127,0.329,554.8134531,0.0015,0.0015,5.548134531,0.0005,0.0005,,
Band1_191,437,446,437,,,,0.3127,0.329,291.250574,0.0015,0.0015,2.91250574,0.0005,0.0005,,
Band1_127,426,434,429,,,,0.3127,0.329,119.7089916,0.0015,0.0015,1.197089916,0.0005,0.0005,,
Band1_63,394,400,400,,,,0.3127,0.329,26.3300563,0.0015,0.0015,0.263300563,0.0005,0.0005,,
Band1_31,405,407,410,,,,0.3127,0.329,6.104709776,0.0015,0.0015,0.061047098,0.0005,0.0005,,
Band1_15,411,413,414,,,,0.3127,0.329,1.44611972,0.002,0.002,0.014461197,0.0005,0.0005,,
Band1_7,434,443,441,,,,0.3127,0.329,0.500420174,0.002,0.002,0.010008403,0.0005,0.0005,,
Band1_4,461,477,469,,,,0.3127,0.329,0.254600137,0.003,0.003,0.011457006,0.0005,0.0005,,
Band2_255,415,308,471,,,,0.3127,0.329,399.9371151,0.0015,0.0015,3.999371151,0.0005,0.0005,,
Band2_191,442,450,443,,,,0.3127,0.329,209.9478909,0.0015,0.0015,2.099478909,0.0005,0.0005,,
Band2_127,430,437,433,,,,0.3127,0.329,86.29219152,0.0015,0.0015,0.862921915,0.0005,0.0005,,
Band2_63,397,401,403,,,,0.3127,0.329,18.98001337,0.0015,0.0015,0.189800134,0.0005,0.0005,,
Band2_31,406,408,412,,,,0.3127,0.329,4.400578253,0.002,0.002,0.044005783,0.0005,0.0005,,
Band2_15,412,415,414,,,,0.3127,0.329,1.042434976,0.002,0.002,0.01042435,0.0005,0.0005,,
Band2_7,436,449,445,,,,0.3127,0.329,0.360727736,0.002,0.002,0.010821832,0.0005,0.0005,,
Band2_4,454,484,473,,,,0.2927,0.329,0.183528434,0.003,0.003,0.00825878,0.0005,0.0005,,
Band3_255,410,308,466,,,,0.3127,0.329,305.6038976,0.0015,0.0015,3.056038976,0.0005,0.0005,,
Band3_191,446,452,448,,,,0.3127,0.329,160.4274555,0.0015,0.0015,1.604274555,0.0005,0.0005,,
Band3_127,432,439,436,,,,0.3127,0.329,65.93844148,0.0015,0.0015,0.659384415,0.0005,0.0005,,
Band3_63,399,401,404,,,,0.3127,0.329,14.50319523,0.0015,0.0015,0.145031952,0.0005,0.0005,,
Band3_31,407,410,413,,,,0.3127,0.329,3.362613308,0.002,0.002,0.033626133,0.0005,0.0005,,
Band3_15,413,416,415,,,,0.3127,0.329,0.796555708,0.002,0.002,0.015931114,0.0005,0.0005,,
Band3_7,437,455,447,,,,0.3127,0.329,0.275642839,0.002,0.002,0.008269285,0.0005,0.0005,,
Band3_4,454,488,475,,,,0.2927,0.329,0.14023956,0.003,0.003,0.00631078,0.0005,0.0005,,
Band4_255,407,308,463,,,,0.3127,0.329,221.1427431,0.0015,0.0015,2.211427431,0.0005,0.0005,,
Band4_191,448,455,451,,,,0.3127,0.329,116.0893819,0.0015,0.0015,1.160893819,0.0005,0.0005,,
Band4_127,436,441,440,,,,0.3127,0.329,47.71473119,0.0015,0.0015,0.477147312,0.0005,0.0005,,
Band4_63,401,402,406,,,,0.3127,0.329,10.49488048,0.0015,0.0015,0.104948805,0.0005,0.0005,,
Band4_31,407,411,413,,,,0.3127,0.329,2.433272406,0.002,0.002,0.024332724,0.0005,0.0005,,
Band4_15,415,421,417,,,,0.3127,0.329,0.576407944,0.002,0.002,0.011528159,0.0005,0.0005,,
Band4_7,426,463,452,,,,0.2927,0.329,0.19946216,0.002,0.002,0.005983865,0.0005,0.0005,,
Band4_4,461,489,473,,,,0.2927,0.329,0.101480908,0.003,0.003,0.004566641,0.0005,0.0005,,
Band5_255,404,308,461,,,,0.3127,0.329,146.8425943,0.0015,0.0015,1.468425943,0.0005,0.0005,,
