,Pattern,Spec,,,Limit,,,
,,X,Y,LV,X,Y,LV,
5,White,0.3127,0.329,350,0.005,0.005,17.5,Normal2
5,Red,0.682,0.315,-1,0.012,0.3,-1,
5,Green,0.243,0.717,-1,0.03,0.03,-1,
5,Blue,0.143,0.044,-1,0.03,0.03,-1,
5,Black,-1,-1,0.01,-1,-1,0.01,
1,White,0.3127,0.329,630,0.01,0.01,31.5,HBM
1,White,0.3127,0.329,490,0.01,0.01,24.5,Normal1
1,White,0.3127,0.329,262.5,0.01,0.01,13.125,Normal3
1,White,0.3127,0.329,189,0.01,0.01,9.45,Normal4
1,White,0.3127,0.329,115.5,0.01,0.01,5.775,Normal5
1,White,0.3127,0.329,66.5,0.01,0.01,3.325,Normal6
1,White,0.3127,0.329,33.25,0.01,0.01,1.6625,Normal7
1,White,0.3127,0.329,11.2,0.01,0.01,0.56,Normal8
1,White,0.3127,0.329,4.9,0.01,0.01,0.245,Normal9
`,,,,,,,,
